code,en_name,vn_name
C73360,ALMOND,Quả hạnh
C73361,ANISE,Hoa hồi
C73362,APPLE,Táo
C73363,APRICOT,Mơ
C73364,BANANA,Chuối 
C73365,BERRY,Berry
C73366,BLACKBERRY,Blackberry
C73367,BLUEBERRY,Việt quất 
C87298,BOYSENBERRY,Boysenberry
C73368,BUBBLE GUM,Kẹo cao su 
C73369,BURGUNDY,Rượu vang đỏ
C73370,BUTTER PECAN,Butter pecan
C73371,BUTTERMINT,Buttermint
C73372,BUTTERSCOTCH,butterscotch 
C73373,CARAMEL,caramel 
C73374,CHEESE,phó-mát
C73375,CHERRY,Cherry
C73376,CHOCOLATE,Chocolate
C92709,CHICKEN,Gà
C73377,CINNAMON,Quế
C73378,CITRUS,Citrus
C73379,COCONUT,Dừa
C73380,COFFEE,Cà phê
C73381,COLA,Cola
C73382,COTTON CANDY,Kẹo bông
C73383,CRANBERRY,Cranberry
C73384,CREME DE MENTHE,Rượu bạc hà
C73385,CURACAO,Rượu Curacao
C73386,CUSTARD,bánh kem 
C73387,EGG NOG,trứng sữa
C73388,FIG,quả sung
C79134,FISH,Cá
C73389,FRUIT,Trái cây
C73390,FRUIT PUNCH,rượu punch trái cây
C100097,GINGER,Gừng
C73391,GRAPE,Nho
C73392,GRAPEFRUIT,bưởi chùm
C73393,GUARANA,Guarana 
C73394,HONEY,Mật onhg
C73395,KIWI,Kiwi
C73396,LEMON,Chanh
C73397,LICORICE,cam thảo 
C73398,LIME,Chanh lá cam
C73399,LIVER,Gan
C92710,MALT,Mạch nha
C73400,MANGO,Xoài
C73433,MAQUE TREE,Cây maque
C82400,MARSHMALLOW,"kẹo dẻo, thục quỳ"
C73402,MEAT,Thịt
C73403,MENTHOL,Menthol
C73404,MINT,Bạc hà
C73406,ORANGE,Cam
C73405,ORANGE BANANA,Cam chuối
C73407,PEACH,Đào
C73408,PEPPERMINT,Bạc hà cay 
C73409,PINEAPPLE,Dứa 
C73410,PLUM,Mận 
C73411,POMEGRANATE,Lựu 
C73412,RAISIN,Nho khô 
C73413,RASPBERRY,Mâm xôi 
C73414,ROOT BEER,Rễ một số cây
C73415,RUM,Rum
C73416,SPEARMINT,bạc hà lục 
C73417,STRAWBERRY,DÂU 
C73418,TANGERINE,Quả quýt
C73419,TROPICAL FRUIT PUNCH,Rượu trái cây nhiệt đới
C73420,TUTTI FRUTTI,Nhiều loại trái cây
C73421,VANILLA,vani 
C73422,WALNUT,quả óc chó
C73423,WATERMELON,dưa hấu 
C73424,WINTERGREEN,Wintergreen
