code,en_name,vn_name
C48335,BULLET,Viên đạn
C48336,CAPSULE,Viên nang
C48337,CLOVER,Cỏ 3 lá
C48338,DIAMOND,Hình thoi
C48339,DOUBLE CIRCLE,Vòng tròn đôi
C48340,FREEFORM,
C48341,GEAR,
C48342,HEPTAGON (7 sided),Hình 7 cạnh
C48343,HEXAGON (6 sided),Hình lục giác
C48344,OCTAGON (8 sided),Hình 8 cạnh
C48345,OVAL,Hình oval
C48346,PENTAGON (5 sided),Hình ngũ giác
C48347,RECTANGLE,Hình chữ nhật
C48348,ROUND,Hình tròn
C48349,SEMI-CIRCLE,Hình bán khuyên
C48350,SQUARE,Hình vuông
C48351,TEAR,Hình giọt nước
C48352,TRAPEZOID,Hình thang
C48335,TRIANGLE,Hình tam giác
